"line";"id";"firstname";"lastname";"mail";"phone";"profile_type";"sector";"job";"calendar_export";"school";"promotion"
"1";0;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";4;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";5;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";6;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";7;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";8;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";9;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";10;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
"1";11;"Mr John";"Doe";"Unknown";"Unknown";"Unknown";"";"";"";"";""
"1";11;"Mr John";"Doe";"Unknown";"Unknown";"Unknown";"";"";"";"";""
"1";11;"Mr John";"Doe";"Unknown";"Unknown";"Unknown";"";"";"";"";""
"1";12;"Mr John";"Doe";"Unknown";"Unknown";"Student";"";"";"Unknown";"Unknown";"Unknown"
